date,station,total,direction_1,direction_2,min_temp,max_temp,precipitation,cloud_cover,sunshine_hours
2008-06-01,Arnulf,667.0,645.0,22.0,12.5,26.7,0.0,30,13.9
2008-06-02,Arnulf,1117.0,1070.0,47.0,15.0,27.9,0.6,44,12.1
2008-06-03,Arnulf,1279.0,1240.0,39.0,14.6,21.9,0.2,88,3.2
2008-06-04,Arnulf,758.0,715.0,43.0,14.8,21.9,5.1,91,1.4
2008-06-05,Arnulf,606.0,569.0,37.0,14.0,20.4,14.2,91,0.6
2008-06-06,Arnulf,963.0,919.0,44.0,13.6,19.9,10.0,81,1.7
2008-06-07,Arnulf,399.0,390.0,9.0,13.6,18.2,2.0,95,0.7
2008-06-08,Arnulf,557.0,542.0,15.0,12.6,22.0,3.9,83,5.4
2008-06-09,Arnulf,1244.0,1202.0,42.0,9.5,23.0,0.0,63,11.5
2008-06-10,Arnulf,1350.0,1309.0,41.0,12.2,25.7,0.8,48,12.7
2008-06-11,Arnulf,798.0,754.0,44.0,13.1,21.9,4.5,86,1.4
2008-06-12,Arnulf,1040.0,995.0,45.0,11.5,19.3,10.5,79,6.1
2008-06-13,Arnulf,814.0,784.0,30.0,6.6,15.5,0.3,71,4.2
2008-06-14,Arnulf,725.0,712.0,13.0,4.7,16.2,0.0,68,7.1
2008-06-15,Arnulf,745.0,728.0,17.0,8.1,18.0,0.4,81,7.9
2008-06-16,Arnulf,605.0,575.0,30.0,10.6,16.5,2.4,98,1.4
2008-06-17,Arnulf,655.0,625.0,30.0,10.3,17.3,0.1,88,0.9
2008-06-18,Arnulf,803.0,770.0,33.0,11.0,21.5,2.5,56,5.6
2008-06-19,Arnulf,1505.0,1463.0,42.0,8.6,25.8,0.0,53,13.0
2008-06-20,Arnulf,1215.0,1167.0,48.0,15.0,25.0,0.0,76,11.0
2008-06-21,Arnulf,1063.0,1039.0,24.0,12.5,27.3,0.0,31,15.0
2008-06-22,Arnulf,720.0,689.0,31.0,13.7,31.8,0.0,40,14.7
2008-06-23,Arnulf,1229.0,1193.0,36.0,17.0,28.3,0.3,53,8.2
2008-06-24,Arnulf,1341.0,1305.0,36.0,16.3,25.9,1.9,46,10.0
2008-06-25,Arnulf,1425.0,1392.0,33.0,15.7,31.0,2.6,45,11.3
2008-06-26,Arnulf,969.0,943.0,26.0,16.6,23.8,0.0,89,1.4
2008-06-27,Arnulf,1290.0,1262.0,28.0,14.6,25.9,0.0,44,12.8
2008-06-28,Arnulf,1077.0,1058.0,19.0,15.2,25.1,0.0,40,10.8
2008-06-29,Arnulf,1045.0,1026.0,19.0,13.6,27.5,29.7,41,14.4
2008-06-30,Arnulf,883.0,863.0,20.0,15.3,25.4,0.1,58,9.4
2008-07-01,Arnulf,1438.0,1367.0,71.0,13.3,26.8,0.0,6,15.3
2008-07-02,Arnulf,1297.0,1245.0,52.0,14.6,28.5,0.0,38,12.7
2008-07-03,Arnulf,1146.0,1097.0,49.0,14.0,28.4,5.3,54,9.9
2008-07-04,Arnulf,1145.0,1106.0,39.0,12.5,21.2,0.0,70,6.2
2008-07-05,Arnulf,1038.0,997.0,41.0,10.2,24.0,0.0,38,14.3
2008-07-06,Arnulf,556.0,543.0,13.0,12.4,27.7,7.1,60,8.2
2008-07-07,Arnulf,498.0,479.0,19.0,12.0,18.9,3.0,71,4.3
2008-07-08,Arnulf,1053.0,1006.0,47.0,10.8,21.0,1.3,66,7.9
2008-07-09,Arnulf,910.0,856.0,54.0,11.6,19.6,0.3,80,2.4
2008-07-10,Arnulf,1489.0,1415.0,74.0,15.2,27.3,0.0,39,12.5
2008-07-11,Arnulf,1264.0,1208.0,56.0,12.5,30.9,8.8,43,11.8
2008-07-12,Arnulf,504.0,484.0,20.0,14.9,20.1,8.4,90,1.3
2008-07-13,Arnulf,164.0,147.0,17.0,12.8,16.6,19.0,99,0.1
2008-07-14,Arnulf,489.0,461.0,28.0,13.0,17.3,11.1,95,0.9
2008-07-15,Arnulf,1233.0,1182.0,51.0,12.3,22.7,0.0,54,9.0
2008-07-16,Arnulf,1412.0,1365.0,47.0,11.5,25.7,8.1,33,12.4
2008-07-17,Arnulf,440.0,414.0,26.0,13.4,16.9,5.3,98,0.2
2008-07-18,Arnulf,868.0,830.0,38.0,13.2,19.2,0.8,85,1.6
2008-07-19,Arnulf,1321.0,1292.0,29.0,12.6,25.9,2.2,54,11.3
2008-07-20,Arnulf,738.0,715.0,23.0,12.5,23.3,13.1,83,4.1
2008-07-21,Arnulf,1068.0,1008.0,60.0,11.1,18.0,0.4,78,6.0
2008-07-22,Arnulf,798.0,762.0,36.0,10.6,18.1,6.8,88,1.9
2008-07-23,Arnulf,999.0,957.0,42.0,11.4,18.7,0.1,79,4.1
2008-07-24,Arnulf,1317.0,1254.0,63.0,9.1,21.5,0.0,68,5.7
2008-07-25,Arnulf,1403.0,1368.0,35.0,12.0,24.0,0.0,54,9.3
2008-07-26,Arnulf,912.0,881.0,31.0,13.6,27.0,0.3,66,10.2
2008-07-27,Arnulf,753.0,719.0,34.0,16.9,27.7,0.0,44,12.3
2008-07-28,Arnulf,1529.0,1457.0,72.0,15.1,27.8,0.0,16,13.6
2008-07-29,Arnulf,1471.0,1407.0,64.0,14.6,29.2,34.0,64,11.2
2008-07-30,Arnulf,1497.0,1447.0,50.0,15.0,28.3,0.0,74,10.3
2008-07-31,Arnulf,540.0,516.0,24.0,16.2,29.0,1.0,58,8.7
2008-08-01,Arnulf,416.0,399.0,17.0,14.8,28.6,5.5,74,5.7
2008-08-02,Arnulf,403.0,394.0,9.0,17.2,25.4,0.2,69,6.7
2008-08-03,Arnulf,268.0,255.0,13.0,16.5,25.7,0.0,45,10.3
2008-08-04,Arnulf,367.0,343.0,24.0,15.7,26.5,6.5,66,9.0
2008-08-05,Arnulf,733.0,715.0,18.0,14.4,23.5,0.0,69,7.1
2008-08-06,Arnulf,1219.0,1181.0,38.0,11.7,26.2,0.0,41,13.1
2008-08-07,Arnulf,993.0,963.0,30.0,13.2,31.1,0.5,38,12.8
2008-08-08,Arnulf,680.0,648.0,32.0,15.4,23.5,3.1,83,4.1
2008-08-09,Arnulf,619.0,602.0,17.0,13.8,21.3,0.2,66,5.9
2008-08-10,Arnulf,688.0,659.0,29.0,11.7,26.4,0.0,43,12.7
2008-08-11,Arnulf,966.0,926.0,40.0,12.3,26.6,6.1,60,6.6
2008-08-12,Arnulf,986.0,951.0,35.0,14.0,27.6,5.1,85,4.2
2008-08-13,Arnulf,851.0,814.0,37.0,13.8,21.7,0.1,69,5.4
2008-08-14,Arnulf,1032.0,988.0,44.0,14.8,23.5,11.2,79,7.7
2008-08-15,Arnulf,186.0,175.0,11.0,11.9,15.5,10.2,98,0.0
2008-08-16,Arnulf,691.0,678.0,13.0,9.2,19.2,0.0,63,6.4
2008-08-17,Arnulf,652.0,636.0,16.0,6.5,21.6,0.0,54,10.2
2008-08-18,Arnulf,1287.0,1233.0,54.0,11.3,26.0,0.0,16,13.1
2008-08-19,Arnulf,1207.0,1148.0,59.0,11.9,28.5,18.8,41,11.8
2008-08-20,Arnulf,947.0,911.0,36.0,15.4,20.8,0.0,88,2.4
2008-08-21,Arnulf,1208.0,1155.0,53.0,11.1,22.6,0.0,74,5.9
2008-08-22,Arnulf,931.0,902.0,29.0,13.0,24.6,14.9,80,6.9
2008-08-23,Arnulf,373.0,364.0,9.0,11.8,18.4,0.7,83,3.4
2008-08-24,Arnulf,626.0,600.0,26.0,9.4,20.0,0.0,49,8.2
2008-08-25,Arnulf,929.0,873.0,56.0,7.9,21.2,0.7,61,3.4
2008-08-26,Arnulf,1143.0,1108.0,35.0,11.8,23.1,0.0,64,8.0
2008-08-27,Arnulf,1338.0,1284.0,54.0,10.9,25.0,0.0,14,11.8
2008-08-28,Arnulf,1090.0,1025.0,65.0,13.3,24.4,0.0,48,9.1
2008-08-29,Arnulf,806.0,777.0,29.0,14.4,21.4,0.0,88,4.1
2008-08-30,Arnulf,677.0,661.0,16.0,11.5,23.3,0.0,21,12.2
2008-08-31,Arnulf,463.0,445.0,18.0,11.2,25.3,0.1,30,11.2
2008-09-01,Arnulf,679.0,648.0,31.0,16.2,21.4,0.3,81,1.4
2008-09-02,Arnulf,1121.0,1077.0,44.0,14.8,24.5,0.0,48,7.0
2008-09-03,Arnulf,1158.0,1116.0,42.0,13.1,27.5,2.1,68,9.8
2008-09-04,Arnulf,734.0,695.0,39.0,15.4,22.2,0.7,91,2.2
2008-09-05,Arnulf,1092.0,1043.0,49.0,15.0,25.5,0.0,76,8.5
2008-09-06,Arnulf,950.0,914.0,36.0,14.6,26.9,0.0,49,10.9
2008-09-07,Arnulf,183.0,175.0,8.0,11.7,15.7,2.5,95,0.0
2008-09-08,Arnulf,1185.0,1126.0,59.0,10.5,20.8,0.0,41,10.6
2008-09-09,Arnulf,1347.0,1286.0,61.0,7.1,23.8,0.0,15,11.8
2008-09-10,Arnulf,1117.0,1091.0,26.0,11.6,24.7,0.0,79,5.1
2008-09-11,Arnulf,1127.0,1091.0,36.0,11.9,25.9,1.9,33,10.9
2008-09-12,Arnulf,817.0,786.0,31.0,13.5,20.6,1.6,83,0.7
2008-09-13,Arnulf,417.0,400.0,17.0,9.7,14.8,0.2,94,0.0
2008-09-14,Arnulf,254.0,238.0,16.0,5.8,10.4,1.7,93,0.1
2008-09-15,Arnulf,548.0,519.0,29.0,6.5,8.0,7.0,100,0.0
2008-09-16,Arnulf,736.0,701.0,35.0,6.0,9.3,0.0,91,0.0
2008-09-17,Arnulf,863.0,832.0,31.0,2.9,10.0,0.0,83,0.0
2008-09-18,Arnulf,936.0,890.0,46.0,1.0,13.1,0.0,66,8.6
2008-09-19,Arnulf,949.0,912.0,37.0,2.5,14.4,0.0,25,11.3
2008-09-20,Arnulf,579.0,557.0,22.0,4.8,11.4,0.0,93,0.4
2008-09-21,Arnulf,434.0,410.0,24.0,6.0,12.0,0.0,85,1.9
2008-09-22,Arnulf,679.0,647.0,32.0,6.7,11.2,0.3,94,0.0
2008-09-23,Arnulf,857.0,818.0,39.0,1.6,11.7,0.0,71,3.3
2008-09-24,Arnulf,855.0,826.0,29.0,1.1,12.6,0.3,90,2.2
2008-09-25,Arnulf,581.0,554.0,27.0,8.2,12.1,1.1,96,0.0
2008-09-26,Arnulf,841.0,805.0,36.0,5.7,13.2,0.0,88,2.6
2008-09-27,Arnulf,638.0,612.0,26.0,3.9,15.2,0.0,23,6.4
2008-09-28,Arnulf,416.0,390.0,26.0,1.2,14.1,0.0,34,5.5
2008-09-29,Arnulf,982.0,938.0,44.0,0.5,15.8,0.0,60,5.1
2008-09-30,Arnulf,912.0,871.0,41.0,7.4,16.0,0.1,88,3.0
2008-10-01,Arnulf,692.0,651.0,41.0,10.6,17.7,0.0,69,3.7
2008-10-02,Arnulf,817.0,770.0,47.0,9.4,15.8,1.1,78,1.0
2008-10-03,Arnulf,205.0,193.0,12.0,5.2,9.5,3.5,93,0.0
2008-10-04,Arnulf,299.0,287.0,12.0,2.4,9.3,2.3,78,1.8
2008-10-05,Arnulf,394.0,375.0,19.0,-0.1,15.4,0.9,48,9.8
2008-10-06,Arnulf,775.0,746.0,29.0,9.0,19.3,0.6,75,5.2
2008-10-07,Arnulf,892.0,862.0,30.0,7.5,19.4,0.0,70,5.2
2008-10-08,Arnulf,1010.0,969.0,41.0,4.1,19.9,0.0,35,9.3
2008-10-09,Arnulf,981.0,937.0,44.0,7.2,12.7,0.0,95,0.0
2008-10-10,Arnulf,818.0,792.0,26.0,8.6,13.4,0.0,91,0.5
2008-10-11,Arnulf,550.0,530.0,20.0,7.5,13.6,0.0,84,2.6
2008-10-12,Arnulf,471.0,458.0,13.0,5.4,20.9,0.0,70,6.8
2008-10-13,Arnulf,1028.0,993.0,35.0,3.9,21.2,0.0,61,7.6
2008-10-14,Arnulf,878.0,853.0,25.0,12.7,21.2,0.3,79,2.9
2008-10-15,Arnulf,991.0,964.0,27.0,12.4,19.5,0.2,79,2.6
2008-10-16,Arnulf,596.0,568.0,28.0,7.6,16.3,8.3,98,0.2
2008-10-17,Arnulf,751.0,731.0,20.0,0.3,11.5,0.0,51,6.5
2008-10-18,Arnulf,529.0,513.0,16.0,-1.6,12.6,0.0,14,9.3
2008-10-19,Arnulf,422.0,409.0,13.0,2.0,15.0,0.0,63,7.9
2008-10-20,Arnulf,942.0,918.0,24.0,-0.1,20.2,0.0,10,9.1
2008-10-21,Arnulf,982.0,953.0,29.0,4.4,21.0,0.0,53,6.8
2008-10-22,Arnulf,708.0,686.0,22.0,4.8,11.8,4.1,95,0.0
2008-10-23,Arnulf,745.0,708.0,37.0,3.0,8.9,0.0,78,2.4
2008-10-24,Arnulf,796.0,765.0,31.0,3.3,9.0,0.0,100,0.0
2008-10-25,Arnulf,513.0,499.0,14.0,-0.4,10.3,0.0,43,6.8
2008-10-26,Arnulf,341.0,317.0,24.0,-1.1,6.5,0.0,95,0.0
2008-10-27,Arnulf,839.0,807.0,32.0,2.8,14.7,4.8,94,0.0
2008-10-28,Arnulf,398.0,375.0,23.0,6.3,9.9,4.2,100,0.0
2008-10-29,Arnulf,614.0,576.0,38.0,4.0,6.4,12.0,100,0.0
2008-10-30,Arnulf,681.0,641.0,40.0,0.2,5.6,0.0,81,0.0
2008-10-31,Arnulf,711.0,680.0,31.0,-1.1,7.1,0.0,79,0.0
2008-11-01,Arnulf,341.0,329.0,12.0,0.5,16.7,0.0,50,8.0
2008-11-02,Arnulf,328.0,323.0,5.0,3.4,10.7,0.0,93,0.0
2008-11-03,Arnulf,841.0,797.0,44.0,5.8,14.3,0.1,66,4.2
2008-11-04,Arnulf,777.0,749.0,28.0,6.6,11.0,0.0,94,0.1
2008-11-05,Arnulf,920.0,880.0,40.0,3.4,20.2,0.0,31,8.9
2008-11-06,Arnulf,741.0,709.0,32.0,3.8,8.5,0.0,93,0.0
2008-11-07,Arnulf,688.0,659.0,29.0,3.6,9.2,0.0,93,0.0
2008-11-08,Arnulf,457.0,441.0,16.0,1.5,12.3,0.0,73,1.8
2008-11-09,Arnulf,312.0,302.0,10.0,-1.4,16.1,0.0,68,6.0
2008-11-10,Arnulf,917.0,876.0,41.0,1.5,17.1,0.0,61,8.3
2008-11-11,Arnulf,858.0,816.0,42.0,-0.5,16.9,3.7,68,2.7
2008-11-12,Arnulf,444.0,418.0,26.0,5.2,8.9,5.0,100,0.0
2008-11-13,Arnulf,419.0,396.0,23.0,4.6,6.2,3.2,100,0.0
2008-11-14,Arnulf,679.0,642.0,37.0,1.8,6.7,0.0,96,0.0
2008-11-15,Arnulf,467.0,449.0,18.0,-2.0,7.8,0.0,19,5.0
2008-11-16,Arnulf,221.0,212.0,9.0,-1.6,6.8,2.1,93,0.0
2008-11-17,Arnulf,746.0,717.0,29.0,-3.3,6.5,0.0,51,1.6
2008-11-18,Arnulf,690.0,669.0,21.0,-3.5,5.1,0.6,91,0.0
2008-11-19,Arnulf,518.0,494.0,24.0,4.4,7.7,0.0,89,0.5
2008-11-20,Arnulf,583.0,556.0,27.0,4.2,9.4,4.1,89,2.0
2008-11-21,Arnulf,296.0,277.0,19.0,0.3,7.5,16.9,96,0.0
2008-11-22,Arnulf,172.0,163.0,9.0,-1.6,0.7,0.0,93,1.9
2008-11-23,Arnulf,103.0,98.0,5.0,-3.0,0.9,2.5,94,1.2
2008-11-24,Arnulf,228.0,213.0,15.0,-3.0,3.8,0.0,85,2.2
2008-11-25,Arnulf,503.0,485.0,18.0,-1.6,1.5,0.0,74,2.9
2008-11-26,Arnulf,561.0,533.0,28.0,-2.8,1.9,0.0,69,0.0
2008-11-27,Arnulf,541.0,523.0,18.0,-6.3,3.1,0.0,29,8.2
2008-11-28,Arnulf,459.0,443.0,16.0,-8.3,0.4,0.0,64,1.3
2008-11-29,Arnulf,270.0,258.0,12.0,-2.6,2.0,0.0,73,4.5
2008-11-30,Arnulf,231.0,219.0,12.0,-1.8,4.9,0.0,80,3.3
2008-12-01,Arnulf,504.0,465.0,39.0,-0.5,4.0,0.6,91,0.6
2008-12-02,Arnulf,611.0,584.0,27.0,-0.7,5.1,0.0,63,2.8
2008-12-03,Arnulf,641.0,599.0,42.0,-2.0,5.6,0.0,54,7.7
2008-12-04,Arnulf,645.0,608.0,37.0,-0.2,6.3,0.2,75,4.6
2008-12-05,Arnulf,539.0,506.0,33.0,-0.1,8.5,2.2,86,0.7
2008-12-06,Arnulf,237.0,230.0,7.0,2.0,7.0,3.0,88,2.1
2008-12-07,Arnulf,124.0,116.0,8.0,1.0,4.2,0.4,88,0.1
2008-12-08,Arnulf,576.0,549.0,27.0,-4.5,2.2,0.0,81,0.4
2008-12-09,Arnulf,574.0,544.0,30.0,-4.7,1.0,0.0,80,5.5
2008-12-10,Arnulf,547.0,507.0,40.0,-2.4,1.0,0.0,96,0.0
2008-12-11,Arnulf,540.0,520.0,20.0,-0.3,0.6,2.7,100,0.0
2008-12-12,Arnulf,249.0,235.0,14.0,-1.0,0.4,0.8,99,0.0
2008-12-13,Arnulf,170.0,169.0,1.0,-2.0,0.0,0.0,98,0.0
2008-12-14,Arnulf,142.0,137.0,5.0,-2.4,5.4,0.0,63,5.6
2008-12-15,Arnulf,542.0,517.0,25.0,0.0,7.9,0.0,58,5.8
2008-12-16,Arnulf,545.0,522.0,23.0,-3.3,1.9,0.0,86,0.0
2008-12-17,Arnulf,532.0,503.0,29.0,-0.3,1.5,1.1,100,0.0
2008-12-18,Arnulf,413.0,380.0,33.0,-0.5,1.3,0.1,100,0.0
2008-12-19,Arnulf,353.0,328.0,25.0,0.1,3.6,2.6,86,0.0
2008-12-20,Arnulf,170.0,164.0,6.0,0.8,5.8,6.0,96,0.0
2008-12-21,Arnulf,78.0,70.0,8.0,4.1,7.6,8.2,100,0.0
2008-12-22,Arnulf,458.0,444.0,14.0,5.3,6.5,0.9,98,0.0
2008-12-23,Arnulf,406.0,379.0,27.0,3.8,5.7,0.0,89,0.0
2008-12-24,Arnulf,162.0,154.0,8.0,2.7,6.5,1.3,94,0.0
2008-12-25,Arnulf,58.0,55.0,3.0,-1.8,3.3,0.5,91,0.0
2008-12-26,Arnulf,12.0,11.0,1.0,-3.0,-1.0,0.0,56,5.6
2008-12-27,Arnulf,62.0,56.0,6.0,-2.8,-1.7,0.0,100,0.0
2008-12-28,Arnulf,59.0,55.0,4.0,-5.1,-0.7,0.0,33,7.2
2008-12-29,Arnulf,242.0,225.0,17.0,-9.3,0.0,0.0,0,7.5
2008-12-30,Arnulf,289.0,264.0,25.0,-9.1,0.5,0.0,3,7.7
2008-12-31,Arnulf,125.0,120.0,5.0,-10.1,0.0,0.1,13,7.4
2009-01-01,Arnulf,37.0,34.0,3.0,-7.6,0.3,0.2,94,0.0
2009-01-02,Arnulf,127.0,124.0,3.0,-8.1,-2.4,0.0,94,0.0
2009-01-03,Arnulf,95.0,93.0,2.0,-11.5,-3.0,0.0,16,5.8
2009-01-04,Arnulf,57.0,56.0,1.0,-7.1,-2.2,0.0,91,5.3
2009-01-05,Arnulf,176.0,171.0,5.0,-5.5,-2.5,0.0,95,0.1
2009-01-06,Arnulf,49.0,47.0,2.0,-4.8,-3.3,0.0,100,0.0
2009-01-07,Arnulf,272.0,264.0,8.0,-6.7,-4.5,0.3,100,0.0
2009-01-08,Arnulf,260.0,250.0,10.0,-11.3,-2.7,0.0,23,7.2
2009-01-09,Arnulf,224.0,220.0,4.0,-15.9,-4.0,0.0,4,7.4
2009-01-10,Arnulf,128.0,124.0,4.0,-14.5,-4.1,0.0,0,7.5
2009-01-11,Arnulf,69.0,64.0,5.0,-15.6,-4.2,0.0,16,7.0
2009-01-12,Arnulf,284.0,273.0,11.0,-16.4,-3.1,0.0,6,6.9
2009-01-13,Arnulf,374.0,357.0,17.0,-12.6,0.1,0.0,5,7.8
2009-01-14,Arnulf,344.0,326.0,18.0,-10.9,-1.2,0.0,89,0.0
2009-01-15,Arnulf,437.0,419.0,18.0,-7.8,2.0,0.0,66,2.6
2009-01-16,Arnulf,332.0,320.0,12.0,-9.0,-2.3,0.0,91,0.0
2009-01-17,Arnulf,230.0,224.0,6.0,-8.4,4.7,0.0,58,7.8
2009-01-18,Arnulf,149.0,143.0,6.0,-5.4,5.0,1.1,76,0.2
2009-01-19,Arnulf,430.0,409.0,21.0,-1.8,4.9,2.4,70,1.2
2009-01-20,Arnulf,249.0,238.0,11.0,0.4,3.8,12.7,98,0.0
2009-01-21,Arnulf,234.0,220.0,14.0,0.3,1.4,3.6,100,0.0
2009-01-22,Arnulf,334.0,313.0,21.0,-3.9,0.9,0.0,94,0.0
2009-01-23,Arnulf,328.0,298.0,30.0,-1.8,6.7,2.8,94,0.0
2009-01-24,Arnulf,238.0,227.0,11.0,-1.6,4.1,0.0,56,7.7
2009-01-25,Arnulf,171.0,161.0,10.0,-3.0,3.9,0.0,60,5.4
2009-01-26,Arnulf,468.0,441.0,27.0,-6.3,2.9,0.0,24,8.0
2009-01-27,Arnulf,442.0,417.0,25.0,-5.5,-1.0,0.1,90,0.0
2009-01-28,Arnulf,213.0,203.0,10.0,-1.8,0.0,1.4,99,0.0
2009-01-29,Arnulf,326.0,301.0,25.0,-3.5,0.2,0.0,88,0.0
2009-01-30,Arnulf,307.0,293.0,14.0,-4.0,-1.7,0.0,95,0.0
2009-01-31,Arnulf,166.0,154.0,12.0,-3.7,-0.1,0.0,86,1.2
2009-02-01,Arnulf,108.0,100.0,8.0,-3.5,-1.2,0.0,85,0.4
2009-02-02,Arnulf,454.0,429.0,25.0,-4.1,3.6,0.0,80,0.0
2009-02-03,Arnulf,959.0,922.0,37.0,-3.0,5.9,0.0,59,4.7
2009-02-04,Arnulf,609.0,568.0,41.0,-4.9,-0.5,0.0,76,0.0
2009-02-05,Arnulf,570.0,526.0,44.0,-2.9,3.3,0.0,88,4.1
2009-02-06,Arnulf,549.0,523.0,26.0,-1.2,0.3,0.0,99,0.0
