Model,Horizon,Split,RMSE,MAE,MAPE
SeasonalNaive-364,30-day,test,687.4,550.6,62.1
Trend+Seasonal,30-day,test,763.5,630.9,84.5
SeasonalNaive-365,30-day,test,942.0,769.6,89.2
SeasonalMA,30-day,test,1100.1,975.9,66.2
MA-30,30-day,test,1183.1,1026.2,69.5
MA-7,30-day,test,1219.2,1060.8,70.0
SeasonalNaive-7,30-day,test,1227.1,1059.5,70.3
Persistence,30-day,test,1319.6,1160.4,72.9
"SARIMA(2, 1, 2)(1, 0, 2, 7)",30-day,test,1492.6,1366.7,94.5
"SARIMA(1, 1, 1)(1, 0, 1, 7)",30-day,test,1519.8,1391.9,95.8
SeasonalNaive-364,7-day,test,662.1,557.5,61.7
Trend+Seasonal,7-day,test,730.1,627.7,83.4
SeasonalNaive-365,7-day,test,921.6,778.4,88.5
SeasonalMA,7-day,test,1088.3,992.2,66.3
MA-30,7-day,test,1171.5,1043.4,69.7
MA-7,7-day,test,1206.5,1078.2,70.2
SeasonalNaive-7,7-day,test,1215.1,1076.9,70.4
Persistence,7-day,test,1304.0,1178.1,73.2
"SARIMA(2, 1, 2)(1, 0, 2, 7)",7-day,test,1484.0,1386.5,94.5
"SARIMA(1, 1, 1)(1, 0, 1, 7)",7-day,test,1511.2,1411.3,95.9
SeasonalNaive-364,30-day,val,645.8,510.8,75.0
Trend+Seasonal,30-day,val,690.1,560.4,97.8
SeasonalNaive-365,30-day,val,786.0,640.4,97.8
SeasonalMA,30-day,val,1088.8,970.1,71.9
MA-30,30-day,val,1150.3,999.1,88.7
SeasonalNaive-7,30-day,val,1204.2,1039.2,81.4
MA-7,30-day,val,1206.4,1052.9,86.5
Persistence,30-day,val,1206.7,1053.2,86.5
"SARIMA(2, 1, 2)(1, 0, 2, 7)",30-day,val,1345.7,1232.4,80.6
"SARIMA(1, 1, 1)(1, 0, 1, 7)",30-day,val,1580.0,1452.0,94.0
SeasonalNaive-364,7-day,val,613.8,505.7,74.3
Trend+Seasonal,7-day,val,658.7,557.2,97.2
SeasonalNaive-365,7-day,val,753.6,634.4,96.9
SeasonalMA,7-day,val,1050.7,961.2,71.4
MA-30,7-day,val,1114.5,988.8,87.9
SeasonalNaive-7,7-day,val,1166.4,1028.3,80.6
MA-7,7-day,val,1170.3,1042.1,85.7
Persistence,7-day,val,1170.6,1042.4,85.6
"SARIMA(2, 1, 2)(1, 0, 2, 7)",7-day,val,1308.0,1225.4,80.8
"SARIMA(1, 1, 1)(1, 0, 1, 7)",7-day,val,1542.9,1442.5,94.1
