Station,Model,Rank,Feature,Importance
Hirsch,SARIMAX+XGB corrector,1,is_holiday,0.3799
Hirsch,SARIMAX+XGB corrector,2,is_weekend,0.084
Hirsch,SARIMAX+XGB corrector,3,cos_1,0.0558
Hirsch,SARIMAX+XGB corrector,4,dow,0.0522
Hirsch,SARIMAX+XGB corrector,5,max_temp,0.0467
Hirsch,Prophet+XGB corrector,1,is_weekend,0.2135
Hirsch,Prophet+XGB corrector,2,dow,0.1015
Hirsch,Prophet+XGB corrector,3,doy,0.0688
Hirsch,Prophet+XGB corrector,4,is_holiday,0.0669
Hirsch,Prophet+XGB corrector,5,sin_1,0.0635
Olympia,SARIMAX+XGB corrector,1,is_holiday,0.1036
Olympia,SARIMAX+XGB corrector,2,doy,0.0775
Olympia,SARIMAX+XGB corrector,3,month,0.0751
Olympia,SARIMAX+XGB corrector,4,sin_1,0.0722
Olympia,SARIMAX+XGB corrector,5,is_weekend,0.072
Olympia,Prophet+XGB corrector,1,is_weekend,0.1016
Olympia,Prophet+XGB corrector,2,cos_1,0.0789
Olympia,Prophet+XGB corrector,3,sin_1,0.0778
Olympia,Prophet+XGB corrector,4,dow,0.0735
Olympia,Prophet+XGB corrector,5,sunshine_hours,0.0686
Erhardt,SARIMAX+XGB corrector,1,is_holiday,0.2347
Erhardt,SARIMAX+XGB corrector,2,sunshine_hours,0.0821
Erhardt,SARIMAX+XGB corrector,3,cos_1,0.0691
Erhardt,SARIMAX+XGB corrector,4,doy,0.0661
Erhardt,SARIMAX+XGB corrector,5,max_temp,0.0659
Erhardt,Prophet+XGB corrector,1,sunshine_hours,0.0927
Erhardt,Prophet+XGB corrector,2,max_temp,0.0914
Erhardt,Prophet+XGB corrector,3,cos_2,0.088
Erhardt,Prophet+XGB corrector,4,is_weekend,0.0794
Erhardt,Prophet+XGB corrector,5,cos_1,0.0763
